項次,熱點類別,熱點名稱,郵遞區號,縣市名稱,鄉鎮市區,地址,熱點類別_英語,熱點名稱_英語,縣市名稱_英語,鄉鎮市區_英語,地址_英語
207,洽公場所,南屯區家庭福利服務中心,408,臺中市,南屯區,臺中市南屯區南屯路二段407號5樓,Government Offices,Nantun District Family Welfare Service Center of Taichung City,Taichung City,Nantun District,"5F., No.407, Sec. 2, Nantun Rd., Nantun Dist., Taichung City 408, Taiwan (R.O.C.)"
208,洽公場所,太平區家庭福利服務中心,411,臺中市,太平區,臺中市太平區興隆路一段91號4樓,Government Offices,Taiping District Family Welfare Service Center of Taichung City,Taichung City,Taiping District,"4F., No.91, Sec. 1, Xinglong Rd., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)"
209,洽公場所,潭子區老人文康活動中心,427,臺中市,潭子區,臺中市潭子區中山路二段237巷9號,Government Offices,"Tanzi Senior Citizen Activity Center, Taichung City",Taichung City,Tanzi District,"No.9, Ln. 237, Sec. 2, Zhongshan Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
210,文教館所,市立圖書館溪西分館,407,臺中市,西屯區,臺中市西屯區福玄路1號,Education and Culture Facilities,Taichung Public Library Xixi Branch,Taichung City,Xitun District,"No.1, Fuxuan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
211,洽公場所,共好社宅-豐原安康段,420,臺中市,豐原區,臺中市豐原區永康路280號,Government Offices,Taichung Social Housing Fengyuan-Ankang,Taichung City,Fengyuan District,"No.280, Yongkang Rd., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
212,文教館所,市立圖書館李科永紀念圖書分館,408,臺中市,南屯區,臺中市南屯區龍富路五段1號,Education and Culture Facilities,Taichung Public Library in Memory of Lee Ko Yung Branch,Taichung City,Nantun District,"No.1, Sec. 5, Longfu Rd., Nantun Dist., Taichung City 408, Taiwan (R.O.C.)"
213,文教館所,市立圖書館西屯分館2,407,臺中市,西屯區,臺中市西屯區福星路666號,Education and Culture Facilities,Taichung Public Library Xitun Branch 2,Taichung City,Xitun District,"No.666, Fuxing Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
214,文教館所,市立圖書館溪西分館2,407,臺中市,西屯區,臺中市西屯區福玄路1號,Education and Culture Facilities,Taichung Public Library Xixi Branch 2,Taichung City,Xitun District,"No.1, Fuxuan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
215,洽公場所,沙鹿區勞工服務中心,433,臺中市,沙鹿區,臺中市沙鹿區中山路658號,Government Offices,"Shalu District Labor Service Center, Taichung City",Taichung City,Shalu District,"No.658, Zhongshan Rd., Shalu Dist., Taichung City 433, Taiwan (R.O.C.)"
216,洽公場所,海線社區照顧服務中心,436,臺中市,清水區,臺中市清水區鎮政路99巷10號,Government Offices,Taichung City Coastal Area Community Care Service Center,Taichung City,Qingshui District,"No. 10, Ln. 99, Zhenzheng Rd., Qingshui Dist., Taichung City 436, Taiwan (R.O.C.)"
217,洽公場所,潭子聯合辦公大樓5樓,427,臺中市,潭子區,臺中市潭子區豐興路一段512號,Government Offices,"5F, United Administration Building of Tanzi District, Taichung City Government",Taichung City,Tanzi District,"5F., No. 512, Sec. 1, Fengxing Rd., Tanzi Dist., Taichung City 427, Taiwan (R.O.C.)"
218,洽公場所,豐原體育場,420,臺中市,豐原區,臺中市豐原區豐北街221號,Government Offices,"Fengyuan Stadium, Taichung City",Taichung City,Fengyuan District,"No. 221, Fengbei St., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
219,旅遊景點,臺中公園路燈-1,404,臺中市,北區,臺中市北區公園路37-1號,Tourist Spots,Taichung Park(lamppost 1),Taichung City,North District,"No.37-1, Gongyuan Rd., North Dist., Taichung City, Taiwan (R.O.C.)"
220,旅遊景點,臺中公園路燈-2-2,404,臺中市,北區,臺中市北區公園路37-1號,Tourist Spots,Taichung Park(lamppost 2-2),Taichung City,North District,"No.37-2, Gongyuan Rd., North Dist., Taichung City, Taiwan (R.O.C.)"
221,旅遊景點,臺中公園路燈-3-2,404,臺中市,北區,臺中市北區公園路37-1號,Tourist Spots,Taichung Park(lamppost 3-2),Taichung City,North District,"No.37-3, Gongyuan Rd., North Dist., Taichung City, Taiwan (R.O.C.)"
222,旅遊景點,臺中公園路燈-4,404,臺中市,北區,臺中市北區公園路37-1號,Tourist Spots,Taichung Park(lamppost 4),Taichung City,North District,"No.37-4, Gongyuan Rd., North Dist., Taichung City, Taiwan (R.O.C.)"
223,旅遊景點,臺中公園路燈-5-1,404,臺中市,北區,臺中市北區公園路37-1號,Tourist Spots,Taichung Park(lamppost 5-1),Taichung City,North District,"No.37-5, Gongyuan Rd., North Dist., Taichung City, Taiwan (R.O.C.)"
224,旅遊景點,臺中公園路燈-5-2,404,臺中市,北區,臺中市北區公園路37-1號,Tourist Spots,Taichung Park(lamppost 5-2),Taichung City,North District,"No.37-6, Gongyuan Rd., North Dist., Taichung City, Taiwan (R.O.C.)"
225,旅遊景點,臺中公園路燈-6-1,404,臺中市,北區,臺中市北區公園路37-1號,Tourist Spots,Taichung Park(lamppost 6-1),Taichung City,North District,"No.37-7, Gongyuan Rd., North Dist., Taichung City, Taiwan (R.O.C.)"
226,旅遊景點,臺中公園路燈-6-3,404,臺中市,北區,臺中市北區公園路37-1號,Tourist Spots,Taichung Park(lamppost 6-3),Taichung City,North District,"No.37-8, Gongyuan Rd., North Dist., Taichung City, Taiwan (R.O.C.)"
227,旅遊景點,臺中公園路燈-7-1,404,臺中市,北區,臺中市北區公園路37-1號,Tourist Spots,Taichung Park(lamppost 7-1),Taichung City,North District,"No.37-9, Gongyuan Rd., North Dist., Taichung City, Taiwan (R.O.C.)"
228,旅遊景點,臺中公園路燈-7-2,404,臺中市,北區,臺中市北區公園路37-1號,Tourist Spots,Taichung Park(lamppost 7-2),Taichung City,North District,"No.37-10, Gongyuan Rd., North Dist., Taichung City, Taiwan (R.O.C.)"
229,旅遊景點,臺中市美術園道1,403,臺中市,西區,臺中市西區五權五街與五權西四街口,Tourist Spots,"Wuquan 5th St., West Dist., path of art garden, Taichung City Government",Taichung City,West Dist,"Wuquan 5th St., West Dist., Taichung City 403, Taiwan (R.O.C.)"
230,旅遊景點,臺中市美術園道2,403,臺中市,西區,臺中市西區五權西四街114號前,Tourist Spots,"No.114, Wuquan W. 4th St., West Dist, path of art garden,Taichung City Government",Taichung City,West Dist,"No.114, Wuquan W. 4th St., West Dist., Taichung City 403, Taiwan (R.O.C.)"
231,旅遊景點,臺中文心森林公園(公廁1-2),408,臺中市,南屯區,臺中市南屯區文心路一段289號,Tourist Spots,"Wen-Hsin Forest Park, Taichung City Government(public lavatory1-2)",Taichung City,Nantun District,"No.289, Sec. 1, Wenxin Rd., Nantun Dist., Taichung City 408, Taiwan (R.O.C.)"
232,旅遊景點,臺中文心森林公園(公廁2-1),408,臺中市,南屯區,臺中市南屯區文心路一段289號,Tourist Spots,"Wen-Hsin Forest Park, Taichung City Government(public lavatory2-1)",Taichung City,Nantun District,"No.289, Sec. 1, Wenxin Rd., Nantun Dist., Taichung City 409, Taiwan (R.O.C.)"
233,旅遊景點,臺中文心森林公園(公廁2-2),408,臺中市,南屯區,臺中市南屯區文心路一段289號,Tourist Spots,"Wen-Hsin Forest Park, Taichung City Government(public lavatory2-2)",Taichung City,Nantun District,"No.289, Sec. 1, Wenxin Rd., Nantun Dist., Taichung City 410, Taiwan (R.O.C.)"
234,旅遊景點,臺中文心森林公園(公廁2-3),408,臺中市,南屯區,臺中市南屯區文心路一段289號,Tourist Spots,"Wen-Hsin Forest Park, Taichung City Government(public lavatory2-3)",Taichung City,Nantun District,"No.289, Sec. 1, Wenxin Rd., Nantun Dist., Taichung City 411, Taiwan (R.O.C.)"
235,旅遊景點,臺中文心森林公園(圓滿劇場-2),408,臺中市,南屯區,臺中市南屯區文心路一段289號,Tourist Spots,"Wen-Hsin Forest Park, Taichung City Government(Fulfillment Amphitheatre-2)",Taichung City,Nantun District,"No.289, Sec. 1, Wenxin Rd., Nantun Dist., Taichung City 412, Taiwan (R.O.C.)"
236,旅遊景點,臺中文心森林公園(圓滿劇場-3),408,臺中市,南屯區,臺中市南屯區文心路一段289號,Tourist Spots,"Wen-Hsin Forest Park, Taichung City Government(Fulfillment Amphitheatre-3)",Taichung City,Nantun District,"No.289, Sec. 1, Wenxin Rd., Nantun Dist., Taichung City 413, Taiwan (R.O.C.)"
237,旅遊景點,草悟道(勤美1),403,臺中市,西區,臺中市西區公益路館前路交叉口,Tourist Spots,Calligraphy Greenway(in front of Park Lane by CMP),Taichung City,West Dist,"Guanqian Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)"
238,旅遊景點,草悟道(全國),403,臺中市,西區,臺中市西區館前路英才路470巷交叉口,Tourist Spots,Calligraphy Greenway(in front of Hotel National),Taichung City,West Dist,"Guanqian Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)"
239,旅遊景點,草悟道(渣打),403,臺中市,西區,臺中市西區臺灣大道案段中興街口,Tourist Spots,Calligraphy Greenway(in front of Standard Chartered Bank),Taichung City,West Dist,"Guanqian Rd., West Dist., Taichung City 403, Taiwan (R.O.C.)"
240,旅遊景點,東勢客家文物館(正門右柱),423,臺中市,東勢區,臺中市東勢區中山路1號,Tourist Spots,Dongshin Hakka Culture Park(pillar on the right side of the main entrace ),Taichung City,Dongshi Dist,"No.1, Zhongshan Rd., Dongshi Dist., Taichung City 423, Taiwan (R.O.C.)"
241,旅遊景點,石岡旅客服務中心(公話亭),422,臺中市,石岡區,臺中市石岡區石城街1號,Tourist Spots,Taichung City Shigang Visitor Information Center(telephone booth ),Taichung City,Shihkang District,"No.1, Shicheng St., Shigang Dist., Taichung City 422, Taiwan (R.O.C.)"
242,旅遊景點,石岡旅客服務中心左側,422,臺中市,石岡區,臺中市石岡區石城街1號,Tourist Spots,Taichung City Shigang Visitor Information Center (left side),Taichung City,Shihkang District,"No.1, Shicheng St., Shigang Dist., Taichung City 423, Taiwan (R.O.C.)"
243,旅遊景點,潭雅神綠園道6.6K-休息區燈桿,429,臺中市,神岡區,臺中市神岡區潭雅神綠園道與神岡路口,Tourist Spots,Tanya Shen Green Bikeway 6.6KM,Taichung City,Shengang District,"Shengang Rd., Shengang Dist., Taichung City 429, Taiwan (R.O.C.)"
244,旅遊景點,鰲峰山公園(第三工程大隊門前),436,臺中市,清水區,臺中市清水區鰲海陸100號,Tourist Spots,AoFeng Mountain Sports Park(in front of the 3rd Public Work Corps ),Taichung City,Qingshui District,"No.100, AoHai Rd., Qingshui Dist., Taichung City 436, Taiwan (R.O.C.)"
245,旅遊景點,豐樂雕塑公園大門前(公話亭),408,臺中市,南屯區,臺中市南屯區永春東一路575號對面,Tourist Spots,In front of the Gate of Fong Le Sculpture Park,Taichung City,Nantun District,"Opposite of No. 575, Yongchun E. 1st Rd., Nantun Dist., Taichung City 408, Taiwan (R.O.C.)"
246,旅遊景點,秋紅谷公園(河南路警衛亭),407,臺中市,西屯區,臺中市西屯區臺灣大道三段501號,Tourist Spots,"Maple Garden(Henan road guard's station), Taichung City",Taichung City,Xitun District,"No.501, Sec. 3, Taiwan Blvd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)(Maple Garden )"
247,旅遊景點,豐樂雕塑公園(綜合活動中心)(公話),408,臺中市,南屯區,臺中市南屯區文心南五路331號,Tourist Spots,"Fengle Sculpture Park(Integrated activity center), Taichung City",Taichung City,Nantun District,"No. 331, Sec. 1, Wenxin S. 5th Rd., Nantun Dist., Taichung City 408, Taiwan (R.O.C.)"
248,旅遊景點,勤美誠品綠園道公話亭3,403,臺中市,西區,臺中市西區中興街247號斜對面配電箱旁公話亭,Tourist Spots,Qinme Calligraphy Greenway (3rd. phone booth),Taichung City,West Dist,"Opposite phone booth of No. 247, Zhongxing St., West Dist., Taichung City 403, Taiwan (R.O.C.)"
249,旅遊景點,臺中市植物園前1,404,臺中市,北區,臺中市北區館前路1號,Tourist Spots,"The botanical garden ex-1, Taichung City",Taichung City,North District,"No.1, Guanqian Rd., North Dist., Taichung City 404, Taiwan (R.O.C.)"
250,旅遊景點,臺中市植物園前2,404,臺中市,北區,臺中市北區館前路1號,Tourist Spots,The botanical garden ex-2 Taichung City,Taichung City,North District,"No.1, Guanqian Rd., North Dist., Taichung City 405, Taiwan (R.O.C.)"
251,旅遊景點,市民廣場1,403,臺中市,西區,臺中市西區公益路與公益路155巷交叉口,Tourist Spots,"Citizen's square 1, Taichung City",Taichung City,West Dist,"Gong Yi Roads &Gong Yi Road 155 Xiang Jiao Cha Kous West Dist., Taichung City 403, Taiwan (R.O.C.)"
252,旅遊景點,市民廣場2,403,臺中市,西區,臺中市西區公正路與公益路155巷交叉口,Tourist Spots,"Citizen's square 2, Taichung City",Taichung City,West Dist,"Gong Yi Road Zhong Xing Street Jiao Cha Kou West Dist., Taichung City 403, Taiwan (R.O.C.)"
253,旅遊景點,市民廣場3,403,臺中市,西區,臺中市西區公益路與中興街交叉口,Tourist Spots,"Citizen's square 3, Taichung City",Taichung City,West Dist,"Gong Zheng Road Zhong Xing Street Jiao Cha Kou  West Dist., Taichung City 403, Taiwan (R.O.C.)"
254,旅遊景點,市民廣場4,403,臺中市,西區,臺中市西區公正路與中興街交叉口,Tourist Spots,"Citizen's square 4, Taichung City",Taichung City,West Dist,"Gong Zheng Road Gong Yi Road 155 Xiang Jiao Cha Kous West Dist., Taichung City 403, Taiwan (R.O.C.)"
255,旅遊景點,臺中都會公園遊客服務中心前廣場,407,臺中市,西屯區,臺中市西屯區都會園路1215巷140號,Tourist Spots,"Visitor Center Square, Taichung Metropolitan Park",Taichung City,Xitun District,"No.140, Ln. 1215, Duhuiyuan Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
256,旅遊景點,臺中都會公園遊客服務中心公廁1,407,臺中市,西屯區,臺中市西屯區都會園路1215巷140號,Tourist Spots,"Visitor Center Toilets 1, Taichung Metropolitan Park",Taichung City,Xitun District,"No.140, Ln. 1215, Duhuiyuan Rd., Xitun Dist., Taichung City 408, Taiwan (R.O.C.)"
257,旅遊景點,臺中都會公園遊客服務中心公廁2,407,臺中市,西屯區,臺中市西屯區都會園路1215巷140號,Tourist Spots,"Visitor Center Toilets 2, Taichung Metropolitan Park",Taichung City,Xitun District,"No.140, Ln. 1215, Duhuiyuan Rd., Xitun Dist., Taichung City 409, Taiwan (R.O.C.)"
258,旅遊景點,第二市場,407,臺中市,西屯區,臺中市西屯區臺灣大道一段395號,Tourist Spots,Taichung Second Public Retail Market,Taichung City,Xitun District,"No. 395, Sec. 1, Taiwan Blvd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
259,旅遊景點,第二市場(六角亭),407,臺中市,西屯區,臺中市西屯區臺灣大道一段395號,Tourist Spots,Taichung Second Public Retail Market,Taichung City,Xitun District,"No. 395, Sec. 1, Taiwan Blvd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
260,旅遊景點,大里國光路大里國光花市(公話),412,臺中市,大里區,臺中市大里區國光路二段100號,Tourist Spots,Taichung Guoguang Flower market,Taichung City,Dali District,"No. 100, Sec. 2, Guoguang Rd., Dali Dist., Taichung City 412, Taiwan (R.O.C.)"
261,旅遊景點,臺中市大里中興商圈(中興路二段386號之1),412,臺中市,大里區,臺中市大里區中興路二段386號之1,Tourist Spots,"Dali Shopping District(No.386-1, Sec. 2, Zhongxing Rd.), Taichung City",Taichung City,Dali District,"No.386-1, Sec. 2, Zhongxing Rd., Dali Dist., Taichung City 412, Taiwan (R.O.C.)"
262,旅遊景點,臺中市大里中興商圈(中興路2段169號之1)(公話),412,臺中市,大里區,臺中市大里區中興路2段169號之1,Tourist Spots,"Dali Shopping District(No. 169-1, Sec. 2, Zhongxing Rd.), Taichung City",Taichung City,Dali District,"No. 169-1, Sec. 2, Zhongxing Rd., Dali Dist., Taichung City 412, Taiwan (R.O.C.)"
263,旅遊景點,全家便利商店大里益民路新大益店(公話),412,臺中市,大里區,臺中市大里區益民路二段39號,Tourist Spots,"Family Mart convenience store, Yimin Rd., Dali Dist., Taichung City",Taichung City,Dali District,"No.39, Sec. 2, Yimin Rd., Dali Dist., Taichung City 412, Taiwan (R.O.C.)"
264,旅遊景點,臺中市大甲鎮瀾商圈(蔣公路46號),437,臺中市,大甲區,臺中市大甲區蔣公路46號,Tourist Spots,"Dajia Shopping District(No.46, Jianggong Rd.), Taichung City",Taichung City,Dajia District,"No.46, Jianggong Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
265,旅遊景點,全家便利商店大甲蔣公路甲讚店(公話),437,臺中市,大甲區,臺中市大甲區蔣公路179號,Tourist Spots,"Family Mart convenience store, Jianggong Rd., Dajia Dist., Taichung City",Taichung City,Dajia District,"No.179, Jianggong Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
266,旅遊景點,臺中市大甲鎮瀾商圈(鎮瀾街100號之3),437,臺中市,大甲區,臺中市大甲區南陽里鎮瀾街100號之3,Tourist Spots,"Dajia Shopping District(No.100-3, Zhenlan St.), Taichung City",Taichung City,Dajia District,"No.100-3, Zhenlan St., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
267,旅遊景點,臺中市大甲鎮瀾商圈(順天路294號),437,臺中市,大甲區,臺中市大甲區順天路294號,Tourist Spots,"Dajia Shopping District(No.294, Shuntian Rd.), Taichung City",Taichung City,Dajia District,"No.294, Shuntian Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
268,旅遊景點,臺中市大甲鎮瀾商圈(順天路146號之14),437,臺中市,大甲區,"臺中市大甲區順天路146號之14,2樓",Tourist Spots,"Dajia Shopping District(No.146-14, Shuntian Rd.), Taichung City",Taichung City,Dajia District,"No.146-14, Shuntian Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
269,旅遊景點,臺中市大甲鎮瀾商圈(順天路158號),437,臺中市,大甲區,臺中市大甲區大甲里順天路158號,Tourist Spots,"Dajia Shopping District(No.158, Shuntian Rd.), Taichung City",Taichung City,Dajia District,"No.158, Shuntian Rd., Dajia Dist., Taichung City 437, Taiwan (R.O.C.)"
270,旅遊景點,臺中市建國市場2號門(公話),401,臺中市,東區,臺中市東區建成路500號,Tourist Spots,Gate 2 of Taichung City New Jianguo Market,Taichung City,East District,"No.500, Jiancheng Rd., East Dist., Taichung City 401, Taiwan (R.O.C.)"
271,旅遊景點,全家便利商店龍井藝術街藝術店(公話),434,臺中市,龍井區,臺中市龍井區藝術街92號,Tourist Spots,"Family Mart convenience store, Yishu St., Longjing Dist., Taichung City",Taichung City,Longjing District,"No.92, Yishu St., Longjing Dist., Taichung City 434, Taiwan (R.O.C.)"
272,旅遊景點,統一超商霧峰樹仁路育成店(公話),413,臺中市,霧峰區,臺中市霧峰區樹仁路161號之1,Tourist Spots,"7-Eleven convenience store, Shuren Rd., Wufeng Dist., Taichung City ",Taichung City,Wufeng District,"No.161-1, Shuren Rd., Wufeng Dist., Taichung City 413, Taiwan (R.O.C.)"
273,旅遊景點,統一超商霧峰樹仁路峰資店(公話),413,臺中市,霧峰區,臺中市霧峰區樹仁路26號,Tourist Spots,"7-Eleven convenience store, Shuren Rd., Wufeng Dist., Taichung City ",Taichung City,Wufeng District,"No.26, Shuren Rd., Wufeng Dist., Taichung City 413, Taiwan (R.O.C.)"
274,旅遊景點,全家便利商店太平樹孝路樹孝店(公話),411,臺中市,太平區,臺中市太平區樹孝路109號,Tourist Spots,"Family Mart convenience store, Shuxiao Rd., Taiping Dist., Taichung City",Taichung City,Taiping District,"No.109, Shuxiao Rd., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)"
275,旅遊景點,臺中市太平樹孝商圈(樹孝路338號),411,臺中市,太平區,臺中市太平區樹孝路338號,Tourist Spots,"Taiping Shopping District(No.338, Shuxiao Rd.), Taichung City",Taichung City,Taiping District,"No.338, Shuxiao Rd., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)"
276,旅遊景點,統一超商太平樹孝路育鑫店(公話),411,臺中市,太平區,臺中市太平區樹孝路488號,Tourist Spots,"7-Eleven convenience store, Shuxiao Rd., Taiping Dist., Taichung City ",Taichung City,Taiping District,"No.488, Shuxiao Rd., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)"
277,旅遊景點,臺中市太平樹孝商圈(樹孝路25號),411,臺中市,太平區,臺中市太平區樹孝路25號,Tourist Spots,"Taiping Shopping District(No.25, Shuxiao Rd.), Taichung City",Taichung City,Taiping District,"No.25, Shuxiao Rd., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)"
278,大眾運輸節點,全家便利商店烏日光日路烏日高鐵店(公話),414,臺中市,烏日區,臺中市烏日區光日路356號,Public Transportation,"Family Mart convenience store, Guangri Rd., Wuri Dist., Taichung City",Taichung City,Wuri District,"No.356, Guangri Rd., Wuri Dist., Taichung City 414, Taiwan (R.O.C.)"
279,大眾運輸節點,臺中市鐵路工會新泰安站(公話),421,臺中市,后里區,臺中市后里區安眉路37號之12,Public Transportation,"Taichung branch of the railway trade union in the new Tai'an station, Taichung City",Taichung City,Houli District,"No.37-12, Anmei Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
280,旅遊景點,統一超商后里三豐路彩豐店(公話),421,臺中市,后里區,臺中市后里區三豐路473號之5,Tourist Spots,"7-Eleven convenience store, Sanfeng Rd., Houli Dist., Taichung City ",Taichung City,Houli District,"No.473-5, Sanfeng Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)"
281,旅遊景點,臺中市豐原廟東復興商圈(中正路115號),420,臺中市,豐原區,臺中市豐原區中正路115號,Tourist Spots,"Fengyuan Shopping District(No.115, Zhongzheng Rd.), Taichung City",Taichung City,Fengyuan District,"No.115, Zhongzheng Rd., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
282,旅遊景點,臺中市豐原廟東復興商圈(中正路172號),420,臺中市,豐原區,臺中市豐原區中正路172號,Tourist Spots,"Fengyuan Shopping District(No.172, Zhongzheng Rd.), Taichung City",Taichung City,Fengyuan District,"No.172, Zhongzheng Rd., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
283,旅遊景點,統一超商豐原復興路復興店(公話),420,臺中市,豐原區,臺中市豐原區復興路75號,Tourist Spots,"7-Eleven convenience store, Fuxing Rd., Fengyuan Dist., Taichung City ",Taichung City,Fengyuan District,"No.75, Fuxing Rd., Fengyuan Dist., Taichung City 420, Taiwan (R.O.C.)"
284,旅遊景點,統一超商新社中興嶺中興嶺店(公話),426,臺中市,新社區,臺中市新社區中興里中興嶺170號之2,Tourist Spots,"7-Eleven convenience store, Zhongxingling, Xinshe Dist., Taichung City ",Taichung City,Xinshe District,"No.170-2, Zhongxingling, Xinshe Dist., Taichung City 426, Taiwan (R.O.C.)"
285,旅遊景點,新社魅力商圈(協中街158號),426,臺中市,新社區,臺中市新社區協中街158號,Tourist Spots,"Xinshe Shopping District(No.158, Xiezhong St.), Taichung City",Taichung City,Xinshe District,"No.158, Xiezhong St., Xinshe Dist., Taichung City 426, Taiwan (R.O.C.)"
286,旅遊景點,臺中市太平樹孝商圈(樹孝路308號)(公話),411,臺中市,太平區,臺中市太平區樹孝路308號,Tourist Spots,"Taiping Shopping District(No. 308, Shuxiao Rd.), Taichung City",Taichung City,Taiping District,"No.308, Shuxiao Rd., Taiping Dist., Taichung City 411, Taiwan (R.O.C.)"
287,旅遊景點,東勢區形象商圈(中山路42號),423,臺中市,東勢區,臺中市東勢區中山路42號,Tourist Spots,"Dongshi Shopping District(No.42, Zhongshan Rd.), Taichung City",Taichung City,Dongshi Dist,"No.42, Zhongshan Rd., Dongshi Dist., Taichung City 423, Taiwan (R.O.C.)"
288,旅遊景點,東勢區形象商圈(中新街西新巷88號之1)(公話亭),423,臺中市,東勢區,臺中市東勢區中新街西新巷88號之1,Tourist Spots,"Dongshi Shopping District(No. 88-1, Zhongxin St.), Taichung City",Taichung City,Dongshi Dist,"No. 88-1, Zhongxin St., Dongshi Dist., Taichung City 423, Taiwan (R.O.C.)"
289,旅遊景點,統一超商東勢第五橫街欣東雲店(公話),423,臺中市,東勢區,臺中市東勢區第五橫街28號,Tourist Spots,"7-Eleven convenience store, 5th Side St., Dongshi Dist., Taichung City ",Taichung City,Dongshi Dist,"No.28, 5th Side St., Dongshi Dist., Taichung City 423, Taiwan (R.O.C.)"
290,旅遊景點,和平谷關形象商圈(遊客中心),424,臺中市,和平區,臺中市和平區東關路一段102號,Tourist Spots,"Guguan Shopping District(Visitor Center), Taichung City",Taichung City,Heping District,"No.102, Sec. 1, Dongguan Rd., Heping Dist., Taichung City 424, Taiwan (R.O.C.)"
291,旅遊景點,東區東峰公園電亭(公話亭),401,臺中市,東區,臺中市東區七中路37號,Tourist Spots,Tong-Feng Park (telephone booth),Taichung City,East District,"No.37, Qizhong Rd., East Dist., Taichung City 401, Taiwan (R.O.C.)"
292,旅遊景點,全家便利商店和平東關路新谷關店(公話),424,臺中市,和平區,臺中市和平區東關路1段127號之1,Tourist Spots,"Family Mart convenience store, Sec. 1, Dongguan Rd., Heping Dist., Taichung City",Taichung City,Heping District,"No.127-1, Sec. 1, Dongguan Rd., Heping Dist., Taichung City 424, Taiwan (R.O.C.)"
293,旅遊景點,統一超商北屯昌平路昌平店(公話),406,臺中市,北屯區,臺中市北屯區昌平路一段70號,Tourist Spots,"7-Eleven convenience store, Changping Rd., Beitun Dist., Taichung City ",Taichung City,Beitun District,"No.70, Sec. 1, Changping Rd., Beitun Dist., Taichung City 406, Taiwan (R.O.C.)"
294,旅遊景點,臺中市昌平皮鞋商圈(兒童館),406,臺中市,北屯區,臺中市北屯區興安路1段162號,Tourist Spots,"Changping Shopping District(Children Museum), Taichung City",Taichung City,Beitun District,"No.162, Sec. 1, Xing’an Rd., Beitun Dist., Taichung City 406, Taiwan (R.O.C.)"
295,旅遊景點,統一超商中區公園路公園店(公話),400,臺中市,中區,臺中市中區公園路13號,Tourist Spots,"7-Eleven convenience store, Gongyuan Rd., Central Dist., Taichung City ",Taichung City,Central District,"No.13, Gongyuan Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)"
296,旅遊景點,臺中市自由路商圈(中山路96號),400,臺中市,中區,臺中市中區中山路96號,Tourist Spots,"Ziyou Shopping District(No.96, Zhongshan Rd.), Taichung City",Taichung City,Central District,"No.96, Zhongshan Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)"
297,旅遊景點,臺中市自由路商圈(自由路三段296號)(公話),401,臺中市,東區,臺中市東區自由路三段296號,Tourist Spots,"Ziyou Shopping District(No. 296, Sec. 3, Ziyou Rd.), Taichung City",Taichung City,East District,"No. 296, Sec. 3, Ziyou Rd., East Dist., Taichung City 401, Taiwan (R.O.C.)"
298,旅遊景點,臺中市逢甲商圈(逢甲路200巷1號),407,臺中市,西屯區,臺中市西屯區逢甲路200巷1號,Tourist Spots,"Fengjia Shopping District(No.1, Ln. 200, Fengjia Rd.), Taichung City",Taichung City,Xitun District,"No.1, Ln. 200, Fengjia Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
299,旅遊景點,全家便利商店西屯福星路福滿店(公話),407,臺中市,西屯區,臺中市西屯區福星路301號,Tourist Spots,"Family Mart convenience store, Fuxing Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.301, Fuxing Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
300,旅遊景點,OK超商西屯福星路福星店(公話),407,臺中市,西屯區,臺中市西屯區福星路327號,Tourist Spots,"OK mart convenience store, Fuxing Rd., Xitun Dist., Taichung City",Taichung City,Xitun District,"No.327, Fuxing Rd., Xitun Dist., Taichung City 407, Taiwan (R.O.C.)"
